Sales Rep Assigned,Brand Family,Customer Num,Customer Name,Brand Family,Buyer Count   4/1/2026 - 6/30/2026,Buyer Count   7/1/2026 - 7/31/2026
Allison Scott,Carbliss,19004,Shortways' Barn (A),Carbliss,,1.00
Allison Scott,Carbliss,24061,Breaker Billiards,Carbliss,,1.00
Allison Scott,Carbliss,3007,Kitchen & Beer Bar,Carbliss,1.00,
Allison Scott,Carbliss,3002,The Celtic Knot,Carbliss,1.00,1.00
Allison Scott,Carbliss,25027,Sportzone B&G (P),Carbliss,,1.00
Allison Scott,Carbliss,24029,Dingo's Den (P),Carbliss,,1.00
Allison Scott,Carbliss,19012,Bottagra Rest (P),Carbliss,,1.00
Allison Scott,Carbliss,8015,Thatcher Mc Ghees (A),Carbliss,,1.00
Allison Scott,Carbliss,11011,Sunset Pub & Grill(Z),Carbliss,1.00,
Allison Scott,Carbliss,5008,Celtic Crossings,Carbliss,1.00,
Allison Scott,Carbliss,8004,The Side Door (P),Carbliss,1.00,1.00
Allison Scott,Carbliss,15074,Bask 46,Carbliss,,1.00
Allison Scott,Carbliss,25056,Emerald Corner (Z),Carbliss,1.00,
Allison Scott,Carbliss,10001,cherry's,Carbliss,,1.00
Allison Scott,Carbliss,7003,Blu Ale House,Carbliss,1.00,
Allison Scott,Carbliss,11007,Meadows Golf Club(P),Carbliss,1.00,
Allison Scott,Carbliss,12037,Maggies Town Tavern Ii,Carbliss,,1.00
Allison Scott,Carbliss,1005,Grasshopper Irish Pub (A),Carbliss,,1.00
Allison Scott,Carbliss,17001,Underdog Lounge(P),Carbliss,,1.00
Allison Scott,Carbliss,8006,pompton crafthouse,Carbliss,1.00,
Allison Scott,Carbliss,14008,The Barnyard and Carriage House,Carbliss,1.00,
Allison Scott,Carbliss,23013,Vfw 7165 (P),Carbliss,1.00,
Allison Scott,Carbliss,14010,Uncorked (P),Carbliss,1.00,
Allison Scott,Carbliss,15004,Blackjack Mulligan's Public House,Carbliss,,1.00
Allison Scott,Carbliss,24019,Sharky's Wings(P),Carbliss,1.00,
Allison Scott,Carbliss,12022,Grasshopper Too (A),Carbliss,,1.00
Allison Scott,Carbliss,17009,Jimmy Geez (P),Carbliss,,1.00
Allison Scott,Carbliss,25036,Dingbatz (P),Carbliss,,1.00
Anthony Palmisano,Carbliss,230915,Crystal Sprs/Wild Turkey,Carbliss,1.00,
Anthony Palmisano,Carbliss,231307,Skylands Wine& Beer Garden,Carbliss,1.00,
Anthony Palmisano,Carbliss,191103,Whistle Stop (P),Carbliss,1.00,
Anthony Palmisano,Carbliss,230929,Airport Pub & Pkg,Carbliss,1.00,
Anthony Palmisano,Carbliss,230903,Black Bear Golf(A),Carbliss,1.00,
Anthony Palmisano,Carbliss,231210,Bally Owen Golf Club,Carbliss,1.00,
Anthony Palmisano,Carbliss,231309,The Stuffed Olive_2,Carbliss,1.00,1.00
Anthony Palmisano,Carbliss,191207,Daily Planet (A),Carbliss,1.00,1.00
Brian Sengebush,Carbliss,231710,Lakeside Pub (P),Carbliss,1.00,
Brian Sengebush,Carbliss,191505,Mckenna's Pub (P),Carbliss,1.00,
Brian Sengebush,Carbliss,191007,Charley's Tavern,Carbliss,1.00,
Brian Sengebush,Carbliss,191504,Jefferson House (A),Carbliss,1.00,1.00
Brian Sengebush,Carbliss,231719,Layton Tavern,Carbliss,,1.00
Brian Sengebush,Carbliss,190203,Boonton Lanes,Carbliss,1.00,
Brian Sengebush,Carbliss,190214,Johnnie's Tavern,Carbliss,1.00,
Brian Sengebush,Carbliss,191521,Patricks Pub (P),Carbliss,,1.00
Brian Sengebush,Carbliss,190601,Thatcher Mcghee's (A),Carbliss,,1.00
Brian Sengebush,Carbliss,190205,Sharky's West (P),Carbliss,,1.00
Brian Sengebush,Carbliss,231715,Gyp's Tavern,Carbliss,,1.00
Brian Sengebush,Carbliss,230405,Sheridan Lodge (P),Carbliss,1.00,
Brian Sengebush,Carbliss,230428,O'reilly Pub (P),Carbliss,,1.00
Brian Sengebush,Carbliss,190923,Knotty Pine Pub (P),Carbliss,,1.00
Brian Sengebush,Carbliss,191009,Mason Street Grille,Carbliss,1.00,
Brian Sengebush,Carbliss,231601,Farmstead Golf (P),Carbliss,,1.00
Chris Payton,Carbliss,47019,Hilton Garden Inn Ridgefield Park,Carbliss,1.00,
Chris Payton,Carbliss,80035,Arcola Country C.,Carbliss,,1.00
Chris Payton,Carbliss,47017,Westside Village (A),Carbliss,1.00,
Chris Payton,Carbliss,76014,Que Pasta (A),Carbliss,1.00,
Chris Payton,Carbliss,81012,Dutch House,Carbliss,1.00,
Chris Payton,Carbliss,80028,El Cid,Carbliss,1.00,
Chris Payton,Carbliss,80027,Ridgewood Country Club,Carbliss,1.00,
Chris Payton,Carbliss,45005,Colonial Bar,Carbliss,1.00,1.00
Chris Payton,Carbliss,38034,La Nota Restaurant Bar,Carbliss,1.00,
Chris Payton,Carbliss,35009,Fiesta (A),Carbliss,1.00,
Chris Payton,Carbliss,81017,JJ's Pub,Carbliss,1.00,
Chris Payton,Carbliss,38028,Colombia Bakery Factory & Restaurant,Carbliss,1.00,
Dan Lagala,Carbliss,44048,Clubhouse Cafe (P),Carbliss,1.00,
Dan Lagala,Carbliss,44028,512 Bar,Carbliss,1.00,1.00
Dan Lagala,Carbliss,44012,690 Park,Carbliss,1.00,1.00
Dan Lagala,Carbliss,44047,Sedona Tap House,Carbliss,1.00,
Dan Lagala,Carbliss,44027,354 Steakhouse (A),Carbliss,1.00,
Dan Lagala,Carbliss,44025,Rudys (A),Carbliss,1.00,
Javier Melo,Carbliss,24018,Agave Cantina Mexicana,Carbliss,1.00,
Javier Melo,Carbliss,20055,Paruta's (A),Carbliss,1.00,
Mike Ast,Carbliss,84015,The Office 2131 Ridgewood,Carbliss,1.00,
Mike Ast,Carbliss,83011,Stone & Rail,Carbliss,,1.00
Mike Ast,Carbliss,84012,Bareburger (Ridgewood),Carbliss,,1.00
Mike Ast,Carbliss,84022,Park West Tavern,Carbliss,,1.00
Mike Ast,Carbliss,83005,Glen Rock Inn,Carbliss,,1.00
Nick Melissari,Carbliss,38002,Satin Dolls (A),Carbliss,,1.00
Nick Melissari,Carbliss,32023,Redd's Rest (Z),Carbliss,1.00,
Nick Melissari,Carbliss,19006,Blackjack Mulligans (Hawthorne),Carbliss,1.00,
Nick Melissari,Carbliss,38020,Lodi Lanes (A),Carbliss,1.00,
Nick Melissari,Carbliss,77003,Blue 42 Restaurant & Bar,Carbliss,,1.00
Nick Melissari,Carbliss,80007,The Orange Lantern,Carbliss,1.00,1.00
Nick Melissari,Carbliss,37034,Blackjack Mulligans(P) (Garfield),Carbliss,1.00,
Nick Melissari,Carbliss,80040,Biagio's,Carbliss,1.00,
Nick Melissari,Carbliss,79001,Victor's Maywood Inn,Carbliss,1.00,
Paul Mclaughlin,Carbliss,73002,The Cornerstone (P),Carbliss,,1.00
Paul Mclaughlin,Carbliss,54001,Tenafly Pizza (Z),Carbliss,1.00,
Paul Mclaughlin,Carbliss,76009,The Plank Pizza And Bar,Carbliss,,1.00
Paul Mclaughlin,Carbliss,39006,Fat Bastard & Sons,Carbliss,1.00,
Paul Mclaughlin,Carbliss,39010,Players Club (Z),Carbliss,1.00,1.00
Paul Mclaughlin,Carbliss,39007,Club Flamingo (A),Carbliss,,1.00
Paul Mclaughlin,Carbliss,70008,Hearth & Tap Co.,Carbliss,1.00,
